rank,time,records,disciplineName,fullName,participantCountryCode,year,time_seconds
3,0 days 00:03:57.360000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,237.36
4,0 days 00:03:59.250000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,239.25
5,0 days 00:04:00.370000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,240.37
6,0 days 00:04:00.450000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,240.45
7,0 days 00:04:00.510000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,240.51
8,0 days 00:04:01.080000,"[0, 128]",Women 400 Freestyle,LI Bingjie,CHN,2021,241.08
9,0 days 00:04:01.270000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,241.27
10,0 days 00:04:01.340000,,Women 400 Freestyle,TITMUS Ariarne,AUS,2021,241.34
11,0 days 00:04:01.370000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,241.37
12,0 days 00:04:01.570000,"[0, 128]",Women 400 Freestyle,LI Bingjie,CHN,2021,241.57
13,0 days 00:04:01.640000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,241.64
14,0 days 00:04:01.660000,,Women 400 Freestyle,TITMUS Ariarne,AUS,2021,241.66
15,0 days 00:04:01.950000,,Women 400 Freestyle,TANG Muhan,CHN,2021,241.95
16,0 days 00:04:02.280000,[0],Women 400 Freestyle,FAIRWEATHER Erika,NZL,2021,242.28
17,0 days 00:04:02.360000,,Women 400 Freestyle,LI Bingjie,CHN,2021,242.36
18,0 days 00:04:02.380000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,242.38
19,0 days 00:04:02.420000,[0],Women 400 Freestyle,MCINTOSH Summer,CAN,2021,242.42
20,0 days 00:04:02.720000,[0],Women 400 Freestyle,MCINTOSH Summer,CAN,2021,242.72
21,0 days 00:04:03.070000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,243.07
22,0 days 00:04:03.210000,[0],Women 400 Freestyle,GOSE Isabel,GER,2021,243.21
23,0 days 00:04:03.500000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,243.5
24,0 days 00:04:03.630000,,Women 400 Freestyle,LI Bingjie,CHN,2021,243.63
25,0 days 00:04:03.980000,,Women 400 Freestyle,MADDEN Paige,USA,2021,243.98
26,0 days 00:04:04.070000,,Women 400 Freestyle,TANG Muhan,CHN,2021,244.07
27,0 days 00:04:04.100000,,Women 400 Freestyle,TANG Muhan,CHN,2021,244.1
27,0 days 00:04:04.100000,,Women 400 Freestyle,COOK Tamsin,AUS,2021,244.1
27,0 days 00:04:04.100000,[0],Women 400 Freestyle,EGOROVA Anna,RUS,2021,244.1
30,0 days 00:04:04.600000,,Women 400 Freestyle,NORDIN Emma Ayasha,USA,2021,244.6
31,0 days 00:04:04.660000,,Women 400 Freestyle,QUADARELLA Simona,ITA,2021,244.66
32,0 days 00:04:04.700000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,244.7
33,0 days 00:04:04.720000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,244.72
34,0 days 00:04:04.780000,,Women 400 Freestyle,MELVERTON Kiah,AUS,2021,244.78
35,0 days 00:04:04.800000,,Women 400 Freestyle,COOK Tamsin,AUS,2021,244.8
36,0 days 00:04:04.830000,,Women 400 Freestyle,SMITH Leah,USA,2021,244.83
37,0 days 00:04:04.860000,,Women 400 Freestyle,MADDEN Paige,USA,2021,244.86
38,0 days 00:04:04.910000,,Women 400 Freestyle,TITMUS Ariarne,AUS,2021,244.91
39,0 days 00:04:04.980000,,Women 400 Freestyle,GOSE Isabel,GER,2021,244.98
40,0 days 00:04:05,,Women 400 Freestyle,LEDECKY Katie,USA,2021,245.0
41,0 days 00:04:05.130000,,Women 400 Freestyle,MCINTOSH Summer,CAN,2021,245.13
42,0 days 00:04:05.150000,,Women 400 Freestyle,TANG Muhan,CHN,2021,245.15
43,0 days 00:04:05.190000,,Women 400 Freestyle,GOSE Isabel,GER,2021,245.19
44,0 days 00:04:05.340000,,Women 400 Freestyle,KESELY Ajna,HUN,2021,245.34
45,0 days 00:04:05.380000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,245.38
46,0 days 00:04:05.570000,,Women 400 Freestyle,KOBORI Waka,JPN,2021,245.57
47,0 days 00:04:05.600000,,Women 400 Freestyle,GOUGH Maddy,AUS,2021,245.6
48,0 days 00:04:05.680000,,Women 400 Freestyle,LEDECKY Katie,USA,2021,245.68
